feature,importance
elev_std,0.021532753500158534
perimeter_m,0.020409492139214863
depth_std_m,0.0135125475796508
dist_glacier_m,0.013405801184945955
depth_huggel_2002,0.012903989486798604
depth_ensemble_mean,0.0128099127372868
depth_oconnor_2001,0.012458113451738115
equivalent_diameter_m,0.012237251473379195
depth_ensemble_std,0.012042028316276815
area_depth_ratio,0.011001303479636787
depth_yao_2012,0.010506364696468385
vrm_mean,0.010377147837483412
depth_m,0.010375738209277527
depth_cook_quincey_2015,0.010308874881776694
growth_rate_m2_yr,0.009828641146316213
freeboard,0.0096476305335032
risk_score,0.008296142067091252
compactness,0.008197659181432462
shore_dev_index,0.008183988602906703
area_cv,0.00806171709409333
fractal_dim,0.0080431033565516
area_m2,0.007991416195234788
volume_m3,0.007324100234006075
area_trend,0.0071240434691305
convexity,0.006959600969103263
dam_height,0.006489586830142993
slope_std,0.006442276887905802
twi_mean,0.006206208160553535
tri_mean,0.005091840753338502
elev_max,0.004907637966192601
elev_mean,0.004513580044329781
potential_energy,0.004509365650516863
elongation,0.004360004404472891
elev_min,0.0038399036697433875
roughness_mean,0.003354914871424401
curvature_mean,0.003327361811294219
aspect_mean,0.003129730600684143
dam_elev,0.0030633981914016577
slope_mean,0.0026440571502468414
presence_rate,0.0
