feature,median_glof,median_nonglof,U,p_value,rank_biserial,n_pos,p_bonferroni,significant
perimeter_m,1449.9999999986999,4079.9999999947613,150820.0,1.9866730798837883e-07,0.531,32,7.946692319535154e-06,True
area_depth_ratio,4454.622124523041,11162.73381649628,158864.0,7.203043678452896e-07,0.506,32,2.8812174713811586e-05,True
volume_m3,704527.4403405844,6568685.683076112,158868.0,7.207554742818744e-07,0.506,32,2.8830218971274974e-05,True
area_m2,64533.33333325436,312299.99999962805,158870.0,7.209811294349092e-07,0.506,32,2.8839245177396366e-05,True
equivalent_diameter_m,285.67988886225385,629.6719735149529,158888.0,7.230150923606508e-07,0.506,32,2.892060369442603e-05,True
depth_ensemble_std,1.6750485646369746,3.23023401812217,158916.0,7.26190026987495e-07,0.506,32,2.90476010794998e-05,True
depth_std_m,1.9263058493325205,3.714769120840495,158916.0,7.26190026987495e-07,0.506,32,2.90476010794998e-05,True
depth_oconnor_2001,14.513354337607755,28.35721264202253,158916.0,7.261900270010785e-07,0.506,32,2.9047601080043142e-05,True
depth_cook_quincey_2015,10.857106212353003,21.080228507255818,158918.0,7.264173212991392e-07,0.506,32,2.9056692851965566e-05,True
depth_huggel_2002,10.857106212353003,21.080228507255818,158918.0,7.264173212991392e-07,0.506,32,2.9056692851965566e-05,True
depth_ensemble_mean,12.51465104807119,24.238160807829274,158920.0,7.266446841441544e-07,0.506,32,2.9065787365766174e-05,True
depth_m,14.39184870528187,27.87388492900366,158920.0,7.266446841441544e-07,0.506,32,2.9065787365766174e-05,True
depth_yao_2012,13.831037429971001,26.42451185474078,158922.0,7.268721155491597e-07,0.506,32,2.9074884621966388e-05,True
shore_dev_index,1.646359582751637,2.0281109868466958,176593.0,1.0039161469487466e-05,0.451,32,0.00040156645877949867,True
compactness,0.370188123252575,0.24355753098559418,466536.0,1.0511353358558561e-05,-0.45,32,0.00042045413434234244,True
dam_elev,4380.337890625,1816.960205078125,399989.0,4.988643397727325e-05,-0.443,28,0.00199545735909093,True
elev_min,4380.209716796875,1816.960205078125,399897.0,5.053931992480308e-05,-0.443,28,0.002021572796992123,True
elev_std,23.078383445739746,80.95849609375,155664.5,5.927700656347935e-05,0.438,28,0.002371080262539174,True
freeboard,36.233154296875,155.34521484375,157761.5,7.933800873222503e-05,0.431,28,0.0031735203492890014,True
elongation,1.5925925925913855,2.13461538466004,196982.0,0.00014710461031121444,0.388,32,0.005884184412448578,True
elev_mean,4484.1767578125,1950.9687093098958,386425.0,0.0003085214988477,-0.394,28,0.012340859953908,True
potential_energy,63112689.75490523,1516949045.0120256,86177.0,0.0004065262283117563,0.457,20,0.016261049132470253,True
area_trend,-24841.19346917257,-85375.67074396183,430686.5,0.0006015106546624814,-0.339,32,0.024060426186499256,True
growth_rate_m2_yr,-24841.19346917257,-85375.67074396183,430686.5,0.0006015106546624814,-0.339,32,0.024060426186499256,True
area_cv,4.889337820512627,4.607152559154708,421518.5,0.0016900966786116238,-0.31,32,0.06760386714446495,False
elev_max,4529.22607421875,2533.50439453125,368161.0,0.0026589392553727936,-0.328,28,0.10635757021491174,False
vrm_mean,0.009521785757637399,0.0051884134300053,357515.5,0.007979374424530698,-0.29,28,0.31917497698122793,False
fractal_dim,1.3252092130944115,1.3105651685838013,403575.0,0.012755475282292957,-0.254,32,0.5102190112917183,False
twi_mean,7.650298833847046,7.485474109649658,336817.0,0.048939842844790485,-0.215,28,1.0,False
dist_glacier_m,1564.4988048406924,781.3003832907697,373897.0,0.11086658019744043,-0.162,32,1.0,False
aspect_mean,181.5105094909668,161.16302490234375,314407.5,0.2191609187199529,-0.134,28,1.0,False
slope_mean,24.33615207672119,25.382667541503903,243393.5,0.26385453723011165,0.122,28,1.0,False
dam_height,38.102386474609375,29.85986328125,177108.5,0.3675102877006363,-0.116,20,1.0,False
slope_std,8.047743368148804,9.148599624633787,250279.5,0.3735566245104611,0.097,28,1.0,False
curvature_mean,-0.00022104241361375,-5.730970542572322e-07,251235.5,0.3907559718220551,0.094,28,1.0,False
convexity,0.8296141165770539,0.8193996667342609,346196.0,0.4565578934387601,-0.076,32,1.0,False
risk_score,0.31245059762311594,0.326065375704359,335398.0,0.6774450620351531,-0.042,32,1.0,False
tri_mean,11.364120483398438,10.85291862487793,265771.5,0.7054197106236222,0.041,28,1.0,False
roughness_mean,39.19645690917969,35.722206115722656,274524.5,0.9292108658783814,0.01,28,1.0,False
presence_rate,1.0,1.0,321728.0,1.0,0.0,32,1.0,False
